name,symbol,current_price,price_change_percentage_24h,market_cap,total_volume,pulse_score,pulse_class
Solana,sol,92.05,-3.25397,53205967465,3384553882,33,risk
Render,render,1.9,-0.07012,983636951,81986238,42,risk
Jupiter,jup,0.224871,-2.60791,745764644,47816579,34,risk
Bonk,bonk,6.9e-06,-3.19528,606425952,53017837,53,risk
The Graph,grt,0.02796514,-4.44933,301780635,30191071,46,risk
Pyth Network,pyth,0.05244,-5.34806,301436603,13977320,38,risk
Jito,jto,0.505026,3.03172,237640326,42540922,67,watch
dogwifhat,wif,0.219,-0.96498,218574173,64427095,35,risk
Raydium,ray,0.785796,-4.08324,211278283,20075500,27,risk
Grass,grass,0.336116,-1.73224,196974004,12124140,32,risk
Helium,hnt,0.900903,-1.02112,165289915,2743210,26,risk
Kamino,kmno,0.02341473,-6.8013,107670154,8328145,41,risk
Orca,orca,1.49,-6.53106,90489879,19454639,26,risk
Wormhole,w,0.01492541,-2.63317,87053938,25997907,51,risk
deBridge,dbr,0.01428994,-0.15536,76111611,5245143,52,risk
Popcat,popcat,0.064412,-4.55984,63102404,13702275,37,risk
GMT,gmt,0.01237794,-3.66831,38519860,10588508,46,risk
Mango,mngo,0.03124385,-1.88017,34918464,509.25,44,risk
Nosana,nos,0.341237,2.89038,34139629,890873,62,watch
Drift Protocol,drift,0.03388297,-4.34234,20709400,3059993,43,risk
Tensor,tnsr,0.04263435,-4.51949,14265141,30865115,40,risk
Metaplex,mplx,0.025642,-2.81267,13222648,507892,48,risk
Marinade,mnde,0.02111911,1.08583,11538373,22239,64,watch
Parcl,prcl,0.01408187,-9.01701,6374761,3163803,43,risk
Star Atlas,atlas,0.00018937,0.3441,4705777,109973,61,watch
Lifinity,lfnty,1.14,-0.85056,0.0,2752.22,23,risk
Sanctum,sanctum,,,,,48,risk
